"","FP","TP","TN","FN","accuracy"
"B1.F1",5,6,5,4,0.55
"B1.F2",5,6,5,4,0.55
"B1.F3",5,5,5,5,0.5
"B1.F4",3,4,7,6,0.55
"B1.F5",5,2,5,8,0.35
"B1.F11",5,5,5,5,0.5
"B1.F21",4,5,6,5,0.55
"B1.F31",5,5,5,5,0.5
"B1.F41",6,6,4,4,0.5
"B1.F51",5,4,5,6,0.45
"B1.F12",7,7,3,3,0.5
"B1.F22",5,5,5,5,0.5
"B1.F32",7,6,3,4,0.45
"B1.F42",4,5,6,5,0.55
"B1.F52",3,3,7,7,0.5
"B1.F13",4,3,6,7,0.45
"B1.F23",4,5,6,5,0.55
"B1.F33",6,7,4,3,0.55
"B1.F43",7,7,3,3,0.5
"B1.F53",3,3,7,7,0.5
"B1.F14",5,5,5,5,0.5
"B1.F24",7,7,3,3,0.5
"B1.F34",6,5,4,5,0.45
"B1.F44",3,4,7,6,0.55
"B1.F54",4,3,6,7,0.45
"B1.F15",4,7,6,3,0.65
"B1.F25",3,2,7,8,0.45
"B1.F35",6,4,4,6,0.4
"B1.F45",8,6,2,4,0.4
"B1.F55",2,2,8,8,0.5
"B1.F16",7,6,3,4,0.45
"B1.F26",8,5,2,5,0.35
"B1.F36",6,3,4,7,0.35
"B1.F46",4,5,6,5,0.55
"B1.F56",4,2,6,8,0.4
"B1.F17",7,5,3,5,0.4
"B1.F27",5,4,5,6,0.45
"B1.F37",1,5,9,5,0.7
"B1.F47",7,5,3,5,0.4
"B1.F57",4,4,6,6,0.5
"B1.F18",4,3,6,7,0.45
"B1.F28",5,5,5,5,0.5
"B1.F38",6,6,4,4,0.5
"B1.F48",5,7,5,3,0.6
"B1.F58",3,4,7,6,0.55
"B1.F19",5,4,5,6,0.45
"B1.F29",6,7,4,3,0.55
"B1.F39",5,5,5,5,0.5
"B1.F49",6,3,4,7,0.35
"B1.F59",6,5,4,5,0.45
"B1.F110",4,3,6,7,0.45
"B1.F210",8,4,2,6,0.3
"B1.F310",5,7,5,3,0.6
"B1.F410",5,3,5,7,0.4
"B1.F510",4,6,6,4,0.6
"B1.F111",6,4,4,6,0.4
"B1.F211",5,4,5,6,0.45
"B1.F311",5,5,5,5,0.5
"B1.F411",4,4,6,6,0.5
"B1.F511",6,4,4,6,0.4
"B1.F112",4,6,6,4,0.6
"B1.F212",6,8,4,2,0.6
"B1.F312",3,4,7,6,0.55
"B1.F412",7,4,3,6,0.35
"B1.F512",5,3,5,7,0.4
"B1.F113",5,4,5,6,0.45
"B1.F213",2,0,8,10,0.4
"B1.F313",4,6,6,4,0.6
"B1.F413",9,6,1,4,0.35
"B1.F513",3,8,7,2,0.75
"B1.F114",5,6,5,4,0.55
"B1.F214",5,5,5,5,0.5
"B1.F314",6,6,4,4,0.5
"B1.F414",4,4,6,6,0.5
"B1.F514",6,5,4,5,0.45
"B1.F115",2,2,8,8,0.5
"B1.F215",7,8,3,2,0.55
"B1.F315",2,7,8,3,0.75
"B1.F415",6,5,4,5,0.45
"B1.F515",3,8,7,2,0.75
"B1.F116",6,5,4,5,0.45
"B1.F216",6,2,4,8,0.3
"B1.F316",4,4,6,6,0.5
"B1.F416",7,5,3,5,0.4
"B1.F516",4,3,6,7,0.45
"B1.F117",4,7,6,3,0.65
"B1.F217",4,5,6,5,0.55
"B1.F317",4,2,6,8,0.4
"B1.F417",7,4,3,6,0.35
"B1.F517",5,6,5,4,0.55
"B1.F118",7,2,3,8,0.25
"B1.F218",5,3,5,7,0.4
"B1.F318",3,5,7,5,0.6
"B1.F418",4,1,6,9,0.35
"B1.F518",7,2,3,8,0.25
"B1.F119",4,5,6,5,0.55
"B1.F219",5,7,5,3,0.6
"B1.F319",7,4,3,6,0.35
"B1.F419",7,5,3,5,0.4
"B1.F519",3,4,7,6,0.55
