"","FP","TP","TN","FN","accuracy"
"B1.F1",3,3,2,2,0.5
"B1.F2",2,4,3,2,0.636363636363636
"B1.F3",4,3,2,2,0.454545454545455
"B1.F4",3,3,2,2,0.5
"B1.F5",4,3,1,2,0.4
"B1.F11",0,0,5,5,0.5
"B1.F21",2,2,3,4,0.454545454545455
"B1.F31",4,0,1,5,0.1
"B1.F41",3,4,2,1,0.6
"B1.F51",4,3,2,2,0.454545454545455
"B1.F12",0,1,5,4,0.6
"B1.F22",3,3,2,2,0.5
"B1.F32",4,3,1,2,0.4
"B1.F42",6,2,0,3,0.181818181818182
"B1.F52",3,2,2,4,0.363636363636364
"B1.F13",4,3,1,2,0.4
"B1.F23",2,1,3,4,0.4
"B1.F33",3,0,2,6,0.181818181818182
"B1.F43",3,4,2,1,0.6
"B1.F53",1,4,5,1,0.818181818181818
"B1.F14",1,3,4,2,0.7
"B1.F24",2,4,3,1,0.7
"B1.F34",2,2,3,4,0.454545454545455
"B1.F44",3,3,3,2,0.545454545454545
"B1.F54",3,2,2,3,0.4
"B1.F15",1,5,4,1,0.818181818181818
"B1.F25",1,4,5,1,0.818181818181818
"B1.F35",3,2,2,3,0.4
"B1.F45",2,1,3,4,0.4
"B1.F55",3,3,2,2,0.5
"B1.F16",4,4,1,1,0.5
"B1.F26",4,3,1,3,0.363636363636364
"B1.F36",4,1,2,4,0.272727272727273
"B1.F46",4,3,1,2,0.4
"B1.F56",2,2,3,3,0.5
"B1.F17",5,5,0,0,0.5
"B1.F27",3,1,2,5,0.272727272727273
"B1.F37",3,1,2,4,0.3
"B1.F47",2,2,3,3,0.5
"B1.F57",5,3,1,2,0.363636363636364
"B1.F18",2,4,3,2,0.636363636363636
"B1.F28",1,5,4,0,0.9
"B1.F38",4,3,1,2,0.4
"B1.F48",2,2,4,3,0.545454545454545
"B1.F58",5,3,0,2,0.3
"B1.F19",4,2,2,3,0.363636363636364
"B1.F29",5,2,0,3,0.2
"B1.F39",3,1,2,4,0.3
"B1.F49",4,1,1,4,0.2
"B1.F59",3,1,2,5,0.272727272727273
"B1.F110",2,4,3,1,0.7
"B1.F210",3,3,2,2,0.5
"B1.F310",4,1,2,4,0.272727272727273
"B1.F410",4,4,1,1,0.5
"B1.F510",3,4,2,2,0.545454545454545
"B1.F111",2,2,3,3,0.5
"B1.F211",1,3,4,3,0.636363636363636
"B1.F311",3,3,2,2,0.5
"B1.F411",3,2,3,3,0.454545454545455
"B1.F511",4,3,1,2,0.4
"B1.F112",2,2,3,4,0.454545454545455
"B1.F212",4,2,1,3,0.3
"B1.F312",3,3,2,2,0.5
"B1.F412",5,2,1,3,0.272727272727273
"B1.F512",2,3,3,2,0.6
"B1.F113",1,2,4,4,0.545454545454545
"B1.F213",5,3,1,2,0.363636363636364
"B1.F313",2,2,3,3,0.5
"B1.F413",5,3,0,2,0.3
"B1.F513",4,1,1,4,0.2
"B1.F114",3,3,3,3,0.5
"B1.F214",3,4,2,1,0.6
"B1.F314",3,3,2,2,0.5
"B1.F414",2,3,3,2,0.6
"B1.F514",2,4,3,1,0.7
"B1.F115",4,2,2,3,0.363636363636364
"B1.F215",4,0,1,6,0.0909090909090909
"B1.F315",4,3,1,2,0.4
"B1.F415",4,1,1,4,0.2
"B1.F515",3,1,2,4,0.3
"B1.F116",3,1,2,5,0.272727272727273
"B1.F216",5,3,0,2,0.3
"B1.F316",4,0,1,5,0.1
"B1.F416",2,3,3,2,0.6
"B1.F516",2,3,4,2,0.636363636363636
"B1.F117",1,2,4,4,0.545454545454545
"B1.F217",4,2,1,3,0.3
"B1.F317",2,5,3,0,0.8
"B1.F417",5,3,1,2,0.363636363636364
"B1.F517",1,1,4,4,0.5
"B1.F118",4,3,2,3,0.416666666666667
"B1.F218",2,1,3,4,0.4
"B1.F318",3,2,2,3,0.4
"B1.F418",1,2,4,3,0.6
"B1.F518",2,3,3,2,0.6
"B1.F119",3,3,3,3,0.5
"B1.F219",3,3,2,2,0.5
"B1.F319",4,2,1,3,0.3
"B1.F419",3,1,2,4,0.3
"B1.F519",5,3,0,2,0.3
