"","FP","TP","TN","FN","accuracy"
"B1.F1",2,2,1,1,0.5
"B1.F2",3,3,0,0,0.5
"B1.F3",2,1,1,2,0.333333333333333
"B1.F4",2,2,1,1,0.5
"B1.F5",2,0,1,3,0.166666666666667
"B1.F11",2,3,1,0,0.666666666666667
"B1.F21",3,2,0,1,0.333333333333333
"B1.F31",1,1,2,2,0.5
"B1.F41",2,3,1,0,0.666666666666667
"B1.F51",3,3,0,0,0.5
"B1.F12",3,2,0,1,0.333333333333333
"B1.F22",3,2,0,1,0.333333333333333
"B1.F32",2,2,1,1,0.5
"B1.F42",3,3,0,0,0.5
"B1.F52",3,2,0,1,0.333333333333333
"B1.F13",2,3,1,0,0.666666666666667
"B1.F23",3,1,0,2,0.166666666666667
"B1.F33",3,3,0,0,0.5
"B1.F43",3,3,0,0,0.5
"B1.F53",1,3,2,0,0.833333333333333
"B1.F14",3,3,0,0,0.5
"B1.F24",2,2,1,1,0.5
"B1.F34",1,2,2,1,0.666666666666667
"B1.F44",2,2,1,1,0.5
"B1.F54",3,3,0,0,0.5
"B1.F15",3,1,0,2,0.166666666666667
"B1.F25",2,2,1,1,0.5
"B1.F35",2,2,1,1,0.5
"B1.F45",2,1,1,2,0.333333333333333
"B1.F55",2,3,1,0,0.666666666666667
"B1.F16",2,3,1,0,0.666666666666667
"B1.F26",2,2,1,1,0.5
"B1.F36",2,2,1,1,0.5
"B1.F46",2,3,1,0,0.666666666666667
"B1.F56",2,2,1,1,0.5
"B1.F17",3,3,0,0,0.5
"B1.F27",1,1,2,2,0.5
"B1.F37",3,1,0,2,0.166666666666667
"B1.F47",3,3,0,0,0.5
"B1.F57",3,2,0,1,0.333333333333333
"B1.F18",3,2,0,1,0.333333333333333
"B1.F28",3,2,0,1,0.333333333333333
"B1.F38",2,2,1,1,0.5
"B1.F48",3,2,0,1,0.333333333333333
"B1.F58",2,3,1,0,0.666666666666667
"B1.F19",1,1,2,2,0.5
"B1.F29",2,2,1,1,0.5
"B1.F39",2,2,1,1,0.5
"B1.F49",3,2,0,1,0.333333333333333
"B1.F59",1,2,2,1,0.666666666666667
"B1.F110",0,3,3,0,1
"B1.F210",1,0,2,3,0.333333333333333
"B1.F310",3,2,0,1,0.333333333333333
"B1.F410",2,3,1,0,0.666666666666667
"B1.F510",2,2,1,1,0.5
"B1.F111",2,3,1,0,0.666666666666667
"B1.F211",2,3,1,0,0.666666666666667
"B1.F311",3,3,0,0,0.5
"B1.F411",2,3,1,0,0.666666666666667
"B1.F511",1,2,2,1,0.666666666666667
"B1.F112",1,0,2,3,0.333333333333333
"B1.F212",2,3,1,0,0.666666666666667
"B1.F312",3,1,0,2,0.166666666666667
"B1.F412",3,3,0,0,0.5
"B1.F512",2,3,1,0,0.666666666666667
"B1.F113",3,3,0,0,0.5
"B1.F213",0,1,3,2,0.666666666666667
"B1.F313",3,3,0,0,0.5
"B1.F413",3,3,0,0,0.5
"B1.F513",1,2,2,1,0.666666666666667
"B1.F114",1,2,2,1,0.666666666666667
"B1.F214",3,2,0,1,0.333333333333333
"B1.F314",3,3,0,0,0.5
"B1.F414",1,1,2,2,0.5
"B1.F514",3,3,0,0,0.5
"B1.F115",3,3,0,0,0.5
"B1.F215",1,1,2,2,0.5
"B1.F315",2,2,1,1,0.5
"B1.F415",2,2,1,1,0.5
"B1.F515",2,2,1,1,0.5
"B1.F116",2,2,1,1,0.5
"B1.F216",0,2,3,1,0.833333333333333
"B1.F316",3,3,0,0,0.5
"B1.F416",3,3,0,0,0.5
"B1.F516",2,2,1,1,0.5
"B1.F117",2,2,1,1,0.5
"B1.F217",0,2,3,1,0.833333333333333
"B1.F317",1,1,2,2,0.5
"B1.F417",3,1,0,2,0.166666666666667
"B1.F517",3,2,0,1,0.333333333333333
"B1.F118",2,3,1,0,0.666666666666667
"B1.F218",3,2,0,1,0.333333333333333
"B1.F318",1,3,2,0,0.833333333333333
"B1.F418",2,2,1,1,0.5
"B1.F518",3,3,0,0,0.5
"B1.F119",2,2,1,1,0.5
"B1.F219",3,3,0,0,0.5
"B1.F319",1,3,2,0,0.833333333333333
"B1.F419",2,3,1,0,0.666666666666667
"B1.F519",2,3,1,0,0.666666666666667
