"","FP","TP","TN","FN","accuracy"
"B1.F1",1,2,2,0,0.8
"B1.F2",0,1,2,2,0.6
"B1.F3",0,2,3,0,1
"B1.F4",0,2,2,1,0.8
"B1.F5",0,0,2,2,0.5
"B1.F11",0,0,2,2,0.5
"B1.F21",0,0,2,3,0.4
"B1.F31",1,1,2,2,0.5
"B1.F41",1,0,2,2,0.4
"B1.F51",0,0,2,2,0.5
"B1.F12",0,0,3,2,0.6
"B1.F22",0,0,2,2,0.5
"B1.F32",0,2,2,1,0.8
"B1.F42",0,1,2,2,0.6
"B1.F52",2,1,1,1,0.4
"B1.F13",2,0,0,2,0
"B1.F23",2,1,1,2,0.333333333333333
"B1.F33",0,2,2,0,1
"B1.F43",1,0,1,2,0.25
"B1.F53",0,0,3,3,0.5
"B1.F14",1,1,2,1,0.6
"B1.F24",0,1,3,1,0.8
"B1.F34",1,1,1,2,0.4
"B1.F44",0,0,2,3,0.4
"B1.F54",0,1,2,1,0.75
"B1.F15",0,0,2,2,0.5
"B1.F25",0,1,3,2,0.666666666666667
"B1.F35",1,1,1,1,0.5
"B1.F45",0,1,2,2,0.6
"B1.F55",1,1,2,1,0.6
"B1.F16",0,1,3,1,0.8
"B1.F26",0,1,2,2,0.6
"B1.F36",2,1,1,1,0.4
"B1.F46",0,0,2,3,0.4
"B1.F56",1,2,1,0,0.75
"B1.F17",1,2,2,0,0.8
"B1.F27",0,1,2,2,0.6
"B1.F37",0,0,2,3,0.4
"B1.F47",0,2,2,0,1
"B1.F57",0,1,3,1,0.8
"B1.F18",0,2,2,1,0.8
"B1.F28",0,2,3,1,0.833333333333333
"B1.F38",0,1,2,1,0.75
"B1.F48",1,2,2,0,0.8
"B1.F58",0,1,2,1,0.75
"B1.F19",1,0,1,2,0.25
"B1.F29",1,0,1,3,0.2
"B1.F39",0,1,3,1,0.8
"B1.F49",1,1,1,2,0.4
"B1.F59",1,2,2,0,0.8
"B1.F110",1,1,1,1,0.5
"B1.F210",0,1,2,2,0.6
"B1.F310",0,1,2,2,0.6
"B1.F410",2,0,1,2,0.2
"B1.F510",1,2,2,0,0.8
"B1.F111",0,0,2,3,0.4
"B1.F211",0,0,2,3,0.4
"B1.F311",0,0,3,2,0.6
"B1.F411",1,2,2,0,0.8
"B1.F511",2,1,0,1,0.25
"B1.F112",1,2,1,1,0.6
"B1.F212",0,0,2,3,0.4
"B1.F312",0,0,2,2,0.5
"B1.F412",0,1,3,1,0.8
"B1.F512",1,1,2,1,0.6
"B1.F113",1,1,2,1,0.6
"B1.F213",1,2,2,0,0.8
"B1.F313",0,1,2,2,0.6
"B1.F413",1,0,1,3,0.2
"B1.F513",1,1,1,1,0.5
"B1.F114",0,1,2,2,0.6
"B1.F214",1,1,1,1,0.5
"B1.F314",1,1,2,1,0.6
"B1.F414",1,0,2,2,0.4
"B1.F514",0,1,2,2,0.6
"B1.F115",1,2,2,1,0.666666666666667
"B1.F215",1,1,1,1,0.5
"B1.F315",0,1,3,1,0.8
"B1.F415",0,1,2,2,0.6
"B1.F515",0,1,2,1,0.75
"B1.F116",1,0,2,2,0.4
"B1.F216",2,2,1,0,0.6
"B1.F316",1,0,1,2,0.25
"B1.F416",0,1,2,2,0.6
"B1.F516",1,1,1,2,0.4
"B1.F117",2,3,0,0,0.6
"B1.F217",0,0,2,2,0.5
"B1.F317",0,1,3,1,0.8
"B1.F417",1,2,2,1,0.666666666666667
"B1.F517",0,0,2,2,0.5
"B1.F118",1,0,1,3,0.2
"B1.F218",0,0,2,2,0.5
"B1.F318",1,0,2,2,0.4
"B1.F418",1,2,1,1,0.6
"B1.F518",0,0,3,2,0.6
"B1.F119",0,0,2,2,0.5
"B1.F219",0,1,2,2,0.6
"B1.F319",0,0,2,2,0.5
"B1.F419",1,2,2,1,0.666666666666667
"B1.F519",2,2,1,0,0.6
