"","FP","TP","TN","FN","accuracy"
"B1.F1",5,1,5,9,0.3
"B1.F2",3,7,7,3,0.7
"B1.F3",3,3,7,7,0.5
"B1.F4",6,6,4,4,0.5
"B1.F5",5,7,5,3,0.6
"B1.F11",4,6,6,4,0.6
"B1.F21",5,7,5,3,0.6
"B1.F31",7,6,3,4,0.45
"B1.F41",5,4,5,6,0.45
"B1.F51",3,5,7,5,0.6
"B1.F12",6,5,4,5,0.45
"B1.F22",3,5,7,5,0.6
"B1.F32",5,8,5,2,0.65
"B1.F42",5,6,5,4,0.55
"B1.F52",7,3,3,7,0.3
"B1.F13",3,5,7,5,0.6
"B1.F23",5,7,5,3,0.6
"B1.F33",8,7,2,3,0.45
"B1.F43",5,5,5,5,0.5
"B1.F53",5,7,5,3,0.6
"B1.F14",5,4,5,6,0.45
"B1.F24",3,8,7,2,0.75
"B1.F34",5,5,5,5,0.5
"B1.F44",6,6,4,4,0.5
"B1.F54",8,5,2,5,0.35
"B1.F15",5,6,5,4,0.55
"B1.F25",6,3,4,7,0.35
"B1.F35",6,6,4,4,0.5
"B1.F45",7,6,3,4,0.45
"B1.F55",5,2,5,8,0.35
"B1.F16",5,8,5,2,0.65
"B1.F26",6,3,4,7,0.35
"B1.F36",4,8,6,2,0.7
"B1.F46",6,5,4,5,0.45
"B1.F56",5,4,5,6,0.45
"B1.F17",5,4,5,6,0.45
"B1.F27",2,2,8,8,0.5
"B1.F37",6,5,4,5,0.45
"B1.F47",6,5,4,5,0.45
"B1.F57",6,8,4,2,0.6
"B1.F18",3,4,7,6,0.55
"B1.F28",8,3,2,7,0.25
"B1.F38",5,7,5,3,0.6
"B1.F48",6,4,4,6,0.4
"B1.F58",8,5,2,5,0.35
"B1.F19",4,5,6,5,0.55
"B1.F29",7,3,3,7,0.3
"B1.F39",6,5,4,5,0.45
"B1.F49",9,6,1,4,0.35
"B1.F59",4,4,6,6,0.5
"B1.F110",4,4,6,6,0.5
"B1.F210",9,4,1,6,0.25
"B1.F310",6,2,4,8,0.3
"B1.F410",6,7,4,3,0.55
"B1.F510",4,6,6,4,0.6
"B1.F111",3,2,7,8,0.45
"B1.F211",6,6,4,4,0.5
"B1.F311",8,6,2,4,0.4
"B1.F411",5,6,5,4,0.55
"B1.F511",6,7,4,3,0.55
"B1.F112",8,6,2,4,0.4
"B1.F212",6,4,4,6,0.4
"B1.F312",7,3,3,7,0.3
"B1.F412",6,4,4,6,0.4
"B1.F512",7,5,3,5,0.4
"B1.F113",4,4,6,6,0.5
"B1.F213",5,4,5,6,0.45
"B1.F313",6,5,4,5,0.45
"B1.F413",9,6,1,4,0.35
"B1.F513",4,7,6,3,0.65
"B1.F114",4,3,6,7,0.45
"B1.F214",5,3,5,7,0.4
"B1.F314",8,4,2,6,0.3
"B1.F414",9,7,1,3,0.4
"B1.F514",7,6,3,4,0.45
"B1.F115",7,6,3,4,0.45
"B1.F215",4,6,6,4,0.6
"B1.F315",4,3,6,7,0.45
"B1.F415",4,5,6,5,0.55
"B1.F515",8,6,2,4,0.4
"B1.F116",6,7,4,3,0.55
"B1.F216",3,6,7,4,0.65
"B1.F316",4,6,6,4,0.6
"B1.F416",5,3,5,7,0.4
"B1.F516",7,8,3,2,0.55
"B1.F117",5,5,5,5,0.5
"B1.F217",5,7,5,3,0.6
"B1.F317",8,5,2,5,0.35
"B1.F417",4,4,6,6,0.5
"B1.F517",6,5,4,5,0.45
"B1.F118",5,6,5,4,0.55
"B1.F218",6,4,4,6,0.4
"B1.F318",5,7,5,3,0.6
"B1.F418",7,4,3,6,0.35
"B1.F518",7,5,3,5,0.4
"B1.F119",3,4,7,6,0.55
"B1.F219",4,6,6,4,0.6
"B1.F319",7,5,3,5,0.4
"B1.F419",4,7,6,3,0.65
"B1.F519",4,4,6,6,0.5
