"","FP","TP","TN","FN","accuracy"
"B1.F1",3,3,0,0,0.5
"B1.F2",1,0,2,3,0.333333333333333
"B1.F3",2,2,1,1,0.5
"B1.F4",0,2,3,1,0.833333333333333
"B1.F5",1,2,2,1,0.666666666666667
"B1.F11",1,1,2,2,0.5
"B1.F21",1,0,2,3,0.333333333333333
"B1.F31",2,1,1,2,0.333333333333333
"B1.F41",1,1,2,2,0.5
"B1.F51",1,1,2,2,0.5
"B1.F12",2,1,1,2,0.333333333333333
"B1.F22",1,1,2,2,0.5
"B1.F32",2,0,1,3,0.166666666666667
"B1.F42",1,0,2,3,0.333333333333333
"B1.F52",1,1,2,2,0.5
"B1.F13",1,1,2,2,0.5
"B1.F23",2,2,1,1,0.5
"B1.F33",0,0,3,3,0.5
"B1.F43",1,1,2,2,0.5
"B1.F53",1,2,2,1,0.666666666666667
"B1.F14",0,1,3,2,0.666666666666667
"B1.F24",1,1,2,2,0.5
"B1.F34",2,0,1,3,0.166666666666667
"B1.F44",2,1,1,2,0.333333333333333
"B1.F54",2,1,1,2,0.333333333333333
"B1.F15",0,3,3,0,1
"B1.F25",0,1,3,2,0.666666666666667
"B1.F35",1,2,2,1,0.666666666666667
"B1.F45",0,1,3,2,0.666666666666667
"B1.F55",2,1,1,2,0.333333333333333
"B1.F16",1,2,2,1,0.666666666666667
"B1.F26",3,1,0,2,0.166666666666667
"B1.F36",0,0,3,3,0.5
"B1.F46",1,1,2,2,0.5
"B1.F56",1,0,2,3,0.333333333333333
"B1.F17",1,2,2,1,0.666666666666667
"B1.F27",0,2,3,1,0.833333333333333
"B1.F37",1,1,2,2,0.5
"B1.F47",0,2,3,1,0.833333333333333
"B1.F57",1,1,2,2,0.5
"B1.F18",2,0,1,3,0.166666666666667
"B1.F28",2,1,1,2,0.333333333333333
"B1.F38",0,1,3,2,0.666666666666667
"B1.F48",1,1,2,2,0.5
"B1.F58",2,2,1,1,0.5
"B1.F19",1,1,2,2,0.5
"B1.F29",2,2,1,1,0.5
"B1.F39",1,2,2,1,0.666666666666667
"B1.F49",1,3,2,0,0.833333333333333
"B1.F59",1,2,2,1,0.666666666666667
"B1.F110",0,1,3,2,0.666666666666667
"B1.F210",1,0,2,3,0.333333333333333
"B1.F310",2,0,1,3,0.166666666666667
"B1.F410",1,3,2,0,0.833333333333333
"B1.F510",2,1,1,2,0.333333333333333
"B1.F111",1,1,2,2,0.5
"B1.F211",1,1,2,2,0.5
"B1.F311",2,1,1,2,0.333333333333333
"B1.F411",1,2,2,1,0.666666666666667
"B1.F511",2,1,1,2,0.333333333333333
"B1.F112",2,0,1,3,0.166666666666667
"B1.F212",2,3,1,0,0.666666666666667
"B1.F312",1,2,2,1,0.666666666666667
"B1.F412",0,2,3,1,0.833333333333333
"B1.F512",0,1,3,2,0.666666666666667
"B1.F113",1,0,2,3,0.333333333333333
"B1.F213",2,1,1,2,0.333333333333333
"B1.F313",0,1,3,2,0.666666666666667
"B1.F413",2,2,1,1,0.5
"B1.F513",1,2,2,1,0.666666666666667
"B1.F114",1,0,2,3,0.333333333333333
"B1.F214",2,1,1,2,0.333333333333333
"B1.F314",1,2,2,1,0.666666666666667
"B1.F414",0,1,3,2,0.666666666666667
"B1.F514",2,2,1,1,0.5
"B1.F115",2,1,1,2,0.333333333333333
"B1.F215",1,0,2,3,0.333333333333333
"B1.F315",1,2,2,1,0.666666666666667
"B1.F415",1,1,2,2,0.5
"B1.F515",1,1,2,2,0.5
"B1.F116",1,0,2,3,0.333333333333333
"B1.F216",1,1,2,2,0.5
"B1.F316",1,0,2,3,0.333333333333333
"B1.F416",1,0,2,3,0.333333333333333
"B1.F516",0,1,3,2,0.666666666666667
"B1.F117",1,3,2,0,0.833333333333333
"B1.F217",1,1,2,2,0.5
"B1.F317",1,1,2,2,0.5
"B1.F417",3,2,0,1,0.333333333333333
"B1.F517",1,2,2,1,0.666666666666667
"B1.F118",2,1,1,2,0.333333333333333
"B1.F218",2,2,1,1,0.5
"B1.F318",1,1,2,2,0.5
"B1.F418",3,1,0,2,0.166666666666667
"B1.F518",2,1,1,2,0.333333333333333
"B1.F119",1,0,2,3,0.333333333333333
"B1.F219",2,2,1,1,0.5
"B1.F319",2,1,1,2,0.333333333333333
"B1.F419",2,2,1,1,0.5
"B1.F519",1,1,2,2,0.5
