"","FP","TP","TN","FN","accuracy"
"B1.F1",4,6,6,4,0.6
"B1.F2",7,7,3,3,0.5
"B1.F3",1,4,9,6,0.65
"B1.F4",7,7,3,3,0.5
"B1.F5",4,5,6,5,0.55
"B1.F11",6,4,4,6,0.4
"B1.F21",2,6,8,4,0.7
"B1.F31",2,4,8,6,0.6
"B1.F41",4,6,6,4,0.6
"B1.F51",3,5,7,5,0.6
"B1.F12",3,6,7,4,0.65
"B1.F22",3,4,7,6,0.55
"B1.F32",2,3,8,7,0.55
"B1.F42",6,3,4,7,0.35
"B1.F52",7,4,3,6,0.35
"B1.F13",6,6,4,4,0.5
"B1.F23",6,5,4,5,0.45
"B1.F33",5,7,5,3,0.6
"B1.F43",4,6,6,4,0.6
"B1.F53",8,8,2,2,0.5
"B1.F14",2,7,8,3,0.75
"B1.F24",2,4,8,6,0.6
"B1.F34",5,7,5,3,0.6
"B1.F44",3,6,7,4,0.65
"B1.F54",5,3,5,7,0.4
"B1.F15",5,8,5,2,0.65
"B1.F25",3,5,7,5,0.6
"B1.F35",4,4,6,6,0.5
"B1.F45",2,3,8,7,0.55
"B1.F55",4,5,6,5,0.55
"B1.F16",5,5,5,5,0.5
"B1.F26",4,3,6,7,0.45
"B1.F36",4,5,6,5,0.55
"B1.F46",6,5,4,5,0.45
"B1.F56",4,4,6,6,0.5
"B1.F17",2,4,8,6,0.6
"B1.F27",4,7,6,3,0.65
"B1.F37",2,7,8,3,0.75
"B1.F47",5,2,5,8,0.35
"B1.F57",6,6,4,4,0.5
"B1.F18",1,6,9,4,0.75
"B1.F28",5,6,5,4,0.55
"B1.F38",5,5,5,5,0.5
"B1.F48",3,5,7,5,0.6
"B1.F58",3,3,7,7,0.5
"B1.F19",2,4,8,6,0.6
"B1.F29",2,2,8,8,0.5
"B1.F39",5,10,5,0,0.75
"B1.F49",5,6,5,4,0.55
"B1.F59",7,5,3,5,0.4
"B1.F110",3,5,7,5,0.6
"B1.F210",8,4,2,6,0.3
"B1.F310",6,6,4,4,0.5
"B1.F410",6,4,4,6,0.4
"B1.F510",3,4,7,6,0.55
"B1.F111",6,5,4,5,0.45
"B1.F211",3,7,7,3,0.7
"B1.F311",5,6,5,4,0.55
"B1.F411",1,4,9,6,0.65
"B1.F511",4,4,6,6,0.5
"B1.F112",6,6,4,4,0.5
"B1.F212",3,5,7,5,0.6
"B1.F312",6,8,4,2,0.6
"B1.F412",1,7,9,3,0.8
"B1.F512",6,6,4,4,0.5
"B1.F113",1,4,9,6,0.65
"B1.F213",1,5,9,5,0.7
"B1.F313",6,3,4,7,0.35
"B1.F413",7,4,3,6,0.35
"B1.F513",3,6,7,4,0.65
"B1.F114",5,2,5,8,0.35
"B1.F214",5,4,5,6,0.45
"B1.F314",4,1,6,9,0.35
"B1.F414",5,4,5,6,0.45
"B1.F514",5,4,5,6,0.45
"B1.F115",3,6,7,4,0.65
"B1.F215",2,6,8,4,0.7
"B1.F315",2,5,8,5,0.65
"B1.F415",6,6,4,4,0.5
"B1.F515",5,5,5,5,0.5
"B1.F116",3,5,7,5,0.6
"B1.F216",4,3,6,7,0.45
"B1.F316",3,6,7,4,0.65
"B1.F416",5,5,5,5,0.5
"B1.F516",6,5,4,5,0.45
"B1.F117",7,4,3,6,0.35
"B1.F217",3,4,7,6,0.55
"B1.F317",4,4,6,6,0.5
"B1.F417",5,8,5,2,0.65
"B1.F517",4,6,6,4,0.6
"B1.F118",4,6,6,4,0.6
"B1.F218",1,5,9,5,0.7
"B1.F318",3,5,7,5,0.6
"B1.F418",3,7,7,3,0.7
"B1.F518",6,6,4,4,0.5
"B1.F119",5,4,5,6,0.45
"B1.F219",3,6,7,4,0.65
"B1.F319",6,2,4,8,0.3
"B1.F419",6,7,4,3,0.55
"B1.F519",2,5,8,5,0.65
