"","FP","TP","TN","FN","accuracy"
"B1.F1",4,6,6,4,0.6
"B1.F2",4,4,6,6,0.5
"B1.F3",6,6,4,4,0.5
"B1.F4",4,3,6,7,0.45
"B1.F5",5,2,5,8,0.35
"B1.F11",2,4,8,6,0.6
"B1.F21",6,6,4,4,0.5
"B1.F31",4,6,6,4,0.6
"B1.F41",2,3,8,7,0.55
"B1.F51",5,8,5,2,0.65
"B1.F12",4,7,6,3,0.65
"B1.F22",5,6,5,4,0.55
"B1.F32",3,1,7,9,0.4
"B1.F42",4,3,6,7,0.45
"B1.F52",6,6,4,4,0.5
"B1.F13",5,5,5,5,0.5
"B1.F23",5,6,5,4,0.55
"B1.F33",4,6,6,4,0.6
"B1.F43",5,4,5,6,0.45
"B1.F53",7,6,3,4,0.45
"B1.F14",4,2,6,8,0.4
"B1.F24",7,5,3,5,0.4
"B1.F34",5,5,5,5,0.5
"B1.F44",5,4,5,6,0.45
"B1.F54",2,3,8,7,0.55
"B1.F15",3,4,7,6,0.55
"B1.F25",5,6,5,4,0.55
"B1.F35",7,3,3,7,0.3
"B1.F45",6,4,4,6,0.4
"B1.F55",6,3,4,7,0.35
"B1.F16",5,7,5,3,0.6
"B1.F26",6,6,4,4,0.5
"B1.F36",2,6,8,4,0.7
"B1.F46",6,7,4,3,0.55
"B1.F56",5,6,5,4,0.55
"B1.F17",6,7,4,3,0.55
"B1.F27",4,5,6,5,0.55
"B1.F37",4,3,6,7,0.45
"B1.F47",4,4,6,6,0.5
"B1.F57",2,4,8,6,0.6
"B1.F18",5,6,5,4,0.55
"B1.F28",5,4,5,6,0.45
"B1.F38",3,6,7,4,0.65
"B1.F48",3,6,7,4,0.65
"B1.F58",7,3,3,7,0.3
"B1.F19",5,4,5,6,0.45
"B1.F29",2,5,8,5,0.65
"B1.F39",0,5,10,5,0.75
"B1.F49",5,8,5,2,0.65
"B1.F59",5,5,5,5,0.5
"B1.F110",7,3,3,7,0.3
"B1.F210",4,5,6,5,0.55
"B1.F310",5,8,5,2,0.65
"B1.F410",3,4,7,6,0.55
"B1.F510",2,5,8,5,0.65
"B1.F111",5,3,5,7,0.4
"B1.F211",3,4,7,6,0.55
"B1.F311",3,6,7,4,0.65
"B1.F411",3,4,7,6,0.55
"B1.F511",6,6,4,4,0.5
"B1.F112",5,3,5,7,0.4
"B1.F212",3,3,7,7,0.5
"B1.F312",6,4,4,6,0.4
"B1.F412",6,6,4,4,0.5
"B1.F512",3,4,7,6,0.55
"B1.F113",1,4,9,6,0.65
"B1.F213",6,5,4,5,0.45
"B1.F313",2,5,8,5,0.65
"B1.F413",4,2,6,8,0.4
"B1.F513",6,5,4,5,0.45
"B1.F114",3,6,7,4,0.65
"B1.F214",2,4,8,6,0.6
"B1.F314",6,6,4,4,0.5
"B1.F414",7,5,3,5,0.4
"B1.F514",5,3,5,7,0.4
"B1.F115",8,4,2,6,0.3
"B1.F215",4,2,6,8,0.4
"B1.F315",4,7,6,3,0.65
"B1.F415",7,8,3,2,0.55
"B1.F515",7,4,3,6,0.35
"B1.F116",3,4,7,6,0.55
"B1.F216",3,3,7,7,0.5
"B1.F316",8,4,2,6,0.3
"B1.F416",5,3,5,7,0.4
"B1.F516",4,5,6,5,0.55
"B1.F117",5,3,5,7,0.4
"B1.F217",5,6,5,4,0.55
"B1.F317",4,5,6,5,0.55
"B1.F417",4,1,6,9,0.35
"B1.F517",6,8,4,2,0.6
"B1.F118",5,9,5,1,0.7
"B1.F218",2,5,8,5,0.65
"B1.F318",3,5,7,5,0.6
"B1.F418",7,8,3,2,0.55
"B1.F518",2,3,8,7,0.55
"B1.F119",6,3,4,7,0.35
"B1.F219",6,7,4,3,0.55
"B1.F319",4,5,6,5,0.55
"B1.F419",8,7,2,3,0.45
"B1.F519",6,4,4,6,0.4
