"","FP","TP","TN","FN","accuracy"
"B1.F1",4,7,5,2,0.666666666666667
"B1.F2",5,5,4,4,0.5
"B1.F3",4,4,5,5,0.5
"B1.F4",5,4,4,5,0.444444444444444
"B1.F5",4,3,5,6,0.444444444444444
"B1.F11",4,7,5,2,0.666666666666667
"B1.F21",6,6,3,3,0.5
"B1.F31",4,6,5,3,0.611111111111111
"B1.F41",3,5,6,4,0.611111111111111
"B1.F51",7,7,2,2,0.5
"B1.F12",3,8,6,1,0.777777777777778
"B1.F22",4,6,5,3,0.611111111111111
"B1.F32",3,7,6,2,0.722222222222222
"B1.F42",5,8,4,1,0.666666666666667
"B1.F52",5,3,4,6,0.388888888888889
"B1.F13",6,5,3,4,0.444444444444444
"B1.F23",6,5,3,4,0.444444444444444
"B1.F33",4,3,5,6,0.444444444444444
"B1.F43",5,7,4,2,0.611111111111111
"B1.F53",4,5,5,4,0.555555555555556
"B1.F14",5,2,4,7,0.333333333333333
"B1.F24",5,5,4,4,0.5
"B1.F34",7,5,2,4,0.388888888888889
"B1.F44",3,4,6,5,0.555555555555556
"B1.F54",4,6,5,3,0.611111111111111
"B1.F15",3,7,6,2,0.722222222222222
"B1.F25",2,5,7,4,0.666666666666667
"B1.F35",2,6,7,3,0.722222222222222
"B1.F45",3,2,6,7,0.444444444444444
"B1.F55",6,2,3,7,0.277777777777778
"B1.F16",4,6,5,3,0.611111111111111
"B1.F26",6,5,3,4,0.444444444444444
"B1.F36",3,5,6,4,0.611111111111111
"B1.F46",5,4,4,5,0.444444444444444
"B1.F56",4,4,5,5,0.5
"B1.F17",0,6,9,3,0.833333333333333
"B1.F27",3,3,6,6,0.5
"B1.F37",4,6,5,3,0.611111111111111
"B1.F47",6,6,3,3,0.5
"B1.F57",6,2,3,7,0.277777777777778
"B1.F18",3,4,6,5,0.555555555555556
"B1.F28",6,3,3,6,0.333333333333333
"B1.F38",3,3,6,6,0.5
"B1.F48",3,3,6,6,0.5
"B1.F58",5,6,4,3,0.555555555555556
"B1.F19",4,1,5,8,0.333333333333333
"B1.F29",4,4,5,5,0.5
"B1.F39",6,5,3,4,0.444444444444444
"B1.F49",5,6,4,3,0.555555555555556
"B1.F59",7,6,2,3,0.444444444444444
"B1.F110",6,3,3,6,0.333333333333333
"B1.F210",5,4,4,5,0.444444444444444
"B1.F310",5,5,4,4,0.5
"B1.F410",6,4,3,5,0.388888888888889
"B1.F510",4,3,5,6,0.444444444444444
"B1.F111",5,6,4,3,0.555555555555556
"B1.F211",4,2,5,7,0.388888888888889
"B1.F311",8,6,1,3,0.388888888888889
"B1.F411",6,6,3,3,0.5
"B1.F511",5,4,4,5,0.444444444444444
"B1.F112",3,2,6,7,0.444444444444444
"B1.F212",4,4,5,5,0.5
"B1.F312",6,7,3,2,0.555555555555556
"B1.F412",4,4,5,5,0.5
"B1.F512",6,6,3,3,0.5
"B1.F113",3,6,6,3,0.666666666666667
"B1.F213",5,4,4,5,0.444444444444444
"B1.F313",2,5,7,4,0.666666666666667
"B1.F413",6,8,3,1,0.611111111111111
"B1.F513",4,6,5,3,0.611111111111111
"B1.F114",4,6,5,3,0.611111111111111
"B1.F214",9,5,0,4,0.277777777777778
"B1.F314",4,5,5,4,0.555555555555556
"B1.F414",6,6,3,3,0.5
"B1.F514",4,5,5,4,0.555555555555556
"B1.F115",7,3,2,6,0.277777777777778
"B1.F215",3,5,6,4,0.611111111111111
"B1.F315",5,5,4,4,0.5
"B1.F415",3,5,6,4,0.611111111111111
"B1.F515",3,3,6,6,0.5
"B1.F116",6,4,3,5,0.388888888888889
"B1.F216",6,5,3,4,0.444444444444444
"B1.F316",5,4,4,5,0.444444444444444
"B1.F416",3,3,6,6,0.5
"B1.F516",5,8,4,1,0.666666666666667
"B1.F117",6,2,3,7,0.277777777777778
"B1.F217",5,3,4,6,0.388888888888889
"B1.F317",2,5,7,4,0.666666666666667
"B1.F417",5,5,4,4,0.5
"B1.F517",7,4,2,5,0.333333333333333
"B1.F118",4,4,5,5,0.5
"B1.F218",4,7,5,2,0.666666666666667
"B1.F318",6,3,3,6,0.333333333333333
"B1.F418",5,8,4,1,0.666666666666667
"B1.F518",5,3,4,6,0.388888888888889
"B1.F119",3,4,6,5,0.555555555555556
"B1.F219",4,6,5,3,0.611111111111111
"B1.F319",5,6,4,3,0.555555555555556
"B1.F419",3,6,6,3,0.666666666666667
"B1.F519",5,5,4,4,0.5
