"","FP","TP","TN","FN","accuracy"
"B1.F1",2,1,2,3,0.375
"B1.F2",0,4,4,0,1
"B1.F3",1,2,3,2,0.625
"B1.F4",1,3,2,1,0.714285714285714
"B1.F5",2,0,2,3,0.285714285714286
"B1.F11",0,1,3,2,0.666666666666667
"B1.F21",2,2,2,2,0.5
"B1.F31",2,2,2,2,0.5
"B1.F41",3,2,1,2,0.375
"B1.F51",3,3,1,1,0.5
"B1.F12",1,3,2,1,0.714285714285714
"B1.F22",1,1,3,3,0.5
"B1.F32",2,1,2,3,0.375
"B1.F42",1,3,3,1,0.75
"B1.F52",2,2,2,1,0.571428571428571
"B1.F13",2,2,2,2,0.5
"B1.F23",1,2,3,1,0.714285714285714
"B1.F33",1,3,2,1,0.714285714285714
"B1.F43",1,2,3,2,0.625
"B1.F53",2,2,2,2,0.5
"B1.F14",1,1,3,3,0.5
"B1.F24",2,3,2,1,0.625
"B1.F34",2,2,1,2,0.428571428571429
"B1.F44",2,4,2,0,0.75
"B1.F54",3,2,1,1,0.428571428571429
"B1.F15",3,3,1,1,0.5
"B1.F25",3,1,1,2,0.285714285714286
"B1.F35",3,2,1,2,0.375
"B1.F45",4,2,0,2,0.25
"B1.F55",2,3,1,1,0.571428571428571
"B1.F16",1,2,2,2,0.571428571428571
"B1.F26",1,3,3,1,0.75
"B1.F36",1,3,3,1,0.75
"B1.F46",2,1,2,2,0.428571428571429
"B1.F56",2,3,2,1,0.625
"B1.F17",1,2,3,2,0.625
"B1.F27",3,1,1,2,0.285714285714286
"B1.F37",2,4,2,0,0.75
"B1.F47",1,3,3,1,0.75
"B1.F57",0,2,3,2,0.714285714285714
"B1.F18",3,3,1,1,0.5
"B1.F28",4,4,0,0,0.5
"B1.F38",1,3,2,1,0.714285714285714
"B1.F48",3,3,1,1,0.5
"B1.F58",1,2,3,1,0.714285714285714
"B1.F19",0,2,4,2,0.75
"B1.F29",2,3,2,0,0.714285714285714
"B1.F39",1,2,3,2,0.625
"B1.F49",2,3,1,1,0.571428571428571
"B1.F59",1,2,3,2,0.625
"B1.F110",1,2,3,2,0.625
"B1.F210",0,3,3,0,1
"B1.F310",1,0,3,4,0.375
"B1.F410",1,4,3,0,0.875
"B1.F510",2,4,2,0,0.75
"B1.F111",1,2,2,2,0.571428571428571
"B1.F211",2,3,2,1,0.625
"B1.F311",3,2,1,1,0.428571428571429
"B1.F411",0,1,4,3,0.625
"B1.F511",2,3,2,1,0.625
"B1.F112",2,1,1,3,0.285714285714286
"B1.F212",0,0,4,4,0.5
"B1.F312",2,1,2,3,0.375
"B1.F412",1,3,3,1,0.75
"B1.F512",2,2,2,1,0.571428571428571
"B1.F113",2,2,1,1,0.5
"B1.F213",1,2,3,2,0.625
"B1.F313",0,3,4,1,0.875
"B1.F413",1,1,3,3,0.5
"B1.F513",2,3,2,1,0.625
"B1.F114",1,3,3,0,0.857142857142857
"B1.F214",2,2,1,2,0.428571428571429
"B1.F314",2,3,2,1,0.625
"B1.F414",0,2,4,2,0.75
"B1.F514",3,3,1,1,0.5
"B1.F115",2,2,2,2,0.5
"B1.F215",3,1,1,2,0.285714285714286
"B1.F315",1,2,2,2,0.571428571428571
"B1.F415",3,2,1,2,0.375
"B1.F515",1,4,3,0,0.875
"B1.F116",2,3,2,1,0.625
"B1.F216",3,2,1,1,0.428571428571429
"B1.F316",2,2,2,2,0.5
"B1.F416",1,3,3,1,0.75
"B1.F516",0,1,3,3,0.571428571428571
"B1.F117",3,2,1,2,0.375
"B1.F217",4,2,0,2,0.25
"B1.F317",0,4,4,0,1
"B1.F417",3,3,1,0,0.571428571428571
"B1.F517",1,2,2,2,0.571428571428571
"B1.F118",2,2,2,2,0.5
"B1.F218",2,2,2,2,0.5
"B1.F318",2,4,1,0,0.714285714285714
"B1.F418",2,3,2,1,0.625
"B1.F518",2,3,2,0,0.714285714285714
"B1.F119",2,2,1,2,0.428571428571429
"B1.F219",0,3,4,1,0.875
"B1.F319",3,3,1,0,0.571428571428571
"B1.F419",0,2,4,2,0.75
"B1.F519",0,3,4,1,0.875
