"","FP","TP","TN","FN","accuracy"
"B1.F1",1,0,2,3,0.333333333333333
"B1.F2",1,1,2,3,0.428571428571429
"B1.F3",2,2,1,1,0.5
"B1.F4",2,1,1,2,0.333333333333333
"B1.F5",3,3,1,0,0.571428571428571
"B1.F11",1,0,2,3,0.333333333333333
"B1.F21",2,0,2,4,0.25
"B1.F31",2,3,1,0,0.666666666666667
"B1.F41",0,2,3,1,0.833333333333333
"B1.F51",1,1,2,2,0.5
"B1.F12",1,1,2,2,0.5
"B1.F22",0,1,3,2,0.666666666666667
"B1.F32",3,2,1,2,0.375
"B1.F42",1,3,2,0,0.833333333333333
"B1.F52",2,0,1,3,0.166666666666667
"B1.F13",3,2,0,1,0.333333333333333
"B1.F23",2,3,1,0,0.666666666666667
"B1.F33",0,0,3,3,0.5
"B1.F43",2,1,1,2,0.333333333333333
"B1.F53",0,0,4,4,0.5
"B1.F14",3,2,1,1,0.428571428571429
"B1.F24",1,0,2,4,0.285714285714286
"B1.F34",2,1,1,2,0.333333333333333
"B1.F44",1,1,2,2,0.5
"B1.F54",0,1,3,2,0.666666666666667
"B1.F15",1,0,2,3,0.333333333333333
"B1.F25",0,1,3,2,0.666666666666667
"B1.F35",0,0,3,3,0.5
"B1.F45",3,1,1,3,0.25
"B1.F55",1,2,2,1,0.666666666666667
"B1.F16",2,0,2,4,0.25
"B1.F26",1,0,2,3,0.333333333333333
"B1.F36",1,1,2,2,0.5
"B1.F46",2,2,1,1,0.5
"B1.F56",0,0,3,3,0.5
"B1.F17",1,3,3,0,0.857142857142857
"B1.F27",1,1,2,2,0.5
"B1.F37",1,1,2,3,0.428571428571429
"B1.F47",2,2,1,1,0.5
"B1.F57",1,0,2,3,0.333333333333333
"B1.F18",0,2,3,1,0.833333333333333
"B1.F28",0,1,3,3,0.571428571428571
"B1.F38",3,3,1,0,0.571428571428571
"B1.F48",2,1,1,2,0.333333333333333
"B1.F58",0,0,3,3,0.5
"B1.F19",2,1,1,2,0.333333333333333
"B1.F29",3,3,0,0,0.5
"B1.F39",2,1,2,2,0.428571428571429
"B1.F49",0,1,3,3,0.571428571428571
"B1.F59",3,1,0,2,0.166666666666667
"B1.F110",3,2,0,1,0.333333333333333
"B1.F210",3,0,1,3,0.142857142857143
"B1.F310",0,0,3,4,0.428571428571429
"B1.F410",1,3,2,0,0.833333333333333
"B1.F510",1,0,2,3,0.333333333333333
"B1.F111",3,2,1,2,0.375
"B1.F211",1,1,2,2,0.5
"B1.F311",1,1,2,2,0.5
"B1.F411",1,0,2,3,0.333333333333333
"B1.F511",0,1,3,2,0.666666666666667
"B1.F112",1,1,2,2,0.5
"B1.F212",1,0,2,3,0.333333333333333
"B1.F312",3,1,1,3,0.25
"B1.F412",0,0,3,3,0.5
"B1.F512",2,0,1,3,0.166666666666667
"B1.F113",3,2,0,1,0.333333333333333
"B1.F213",0,1,4,2,0.714285714285714
"B1.F313",3,1,0,2,0.166666666666667
"B1.F413",1,0,2,4,0.285714285714286
"B1.F513",1,0,2,3,0.333333333333333
"B1.F114",2,0,1,3,0.166666666666667
"B1.F214",1,1,2,2,0.5
"B1.F314",2,0,1,3,0.166666666666667
"B1.F414",2,1,2,2,0.428571428571429
"B1.F514",1,0,2,4,0.285714285714286
"B1.F115",0,1,3,2,0.666666666666667
"B1.F215",1,2,2,1,0.666666666666667
"B1.F315",1,2,3,1,0.714285714285714
"B1.F415",2,2,1,1,0.5
"B1.F515",2,0,1,4,0.142857142857143
"B1.F116",3,1,1,2,0.285714285714286
"B1.F216",2,2,1,1,0.5
"B1.F316",2,2,1,1,0.5
"B1.F416",3,2,0,1,0.333333333333333
"B1.F516",1,1,2,3,0.428571428571429
"B1.F117",2,2,2,1,0.571428571428571
"B1.F217",2,1,1,2,0.333333333333333
"B1.F317",0,0,3,4,0.428571428571429
"B1.F417",1,1,2,2,0.5
"B1.F517",2,1,1,2,0.333333333333333
"B1.F118",1,3,2,0,0.833333333333333
"B1.F218",1,1,2,2,0.5
"B1.F318",0,1,4,3,0.625
"B1.F418",2,0,1,3,0.166666666666667
"B1.F518",0,1,3,2,0.666666666666667
"B1.F119",3,3,1,1,0.5
"B1.F219",2,2,1,1,0.5
"B1.F319",0,2,3,1,0.833333333333333
"B1.F419",1,1,2,2,0.5
"B1.F519",2,2,1,1,0.5
