"","FP","TP","TN","FN","accuracy"
"B1.F1",0,0,3,3,0.5
"B1.F2",0,0,3,3,0.5
"B1.F3",1,1,2,2,0.5
"B1.F4",2,3,2,0,0.714285714285714
"B1.F5",0,1,3,3,0.571428571428571
"B1.F11",1,3,2,0,0.833333333333333
"B1.F21",0,2,3,1,0.833333333333333
"B1.F31",2,1,1,2,0.333333333333333
"B1.F41",2,2,1,2,0.428571428571429
"B1.F51",3,2,1,1,0.428571428571429
"B1.F12",1,1,2,2,0.5
"B1.F22",0,1,3,2,0.666666666666667
"B1.F32",0,1,3,2,0.666666666666667
"B1.F42",0,0,4,4,0.5
"B1.F52",1,1,2,2,0.5
"B1.F13",1,2,2,1,0.666666666666667
"B1.F23",1,1,2,2,0.5
"B1.F33",2,1,1,3,0.285714285714286
"B1.F43",1,2,2,1,0.666666666666667
"B1.F53",2,3,2,0,0.714285714285714
"B1.F14",2,0,1,4,0.142857142857143
"B1.F24",1,1,2,2,0.5
"B1.F34",1,2,3,1,0.714285714285714
"B1.F44",0,0,3,3,0.5
"B1.F54",2,2,1,1,0.5
"B1.F15",1,1,2,2,0.5
"B1.F25",0,1,3,2,0.666666666666667
"B1.F35",2,0,1,3,0.166666666666667
"B1.F45",3,3,1,0,0.571428571428571
"B1.F55",0,0,3,4,0.428571428571429
"B1.F16",1,2,2,1,0.666666666666667
"B1.F26",1,1,2,2,0.5
"B1.F36",1,2,2,2,0.571428571428571
"B1.F46",2,3,2,0,0.714285714285714
"B1.F56",1,2,2,1,0.666666666666667
"B1.F17",0,1,3,2,0.666666666666667
"B1.F27",1,1,2,2,0.5
"B1.F37",1,1,2,2,0.5
"B1.F47",1,2,3,2,0.625
"B1.F57",1,0,2,3,0.333333333333333
"B1.F18",2,1,1,2,0.333333333333333
"B1.F28",1,1,3,2,0.571428571428571
"B1.F38",0,0,3,3,0.5
"B1.F48",1,2,2,2,0.571428571428571
"B1.F58",0,1,3,2,0.666666666666667
"B1.F19",3,2,0,1,0.333333333333333
"B1.F29",0,0,3,4,0.428571428571429
"B1.F39",3,2,1,1,0.428571428571429
"B1.F49",3,1,0,2,0.166666666666667
"B1.F59",1,2,2,1,0.666666666666667
"B1.F110",2,2,1,1,0.5
"B1.F210",0,0,3,3,0.5
"B1.F310",0,1,3,2,0.666666666666667
"B1.F410",2,1,1,2,0.333333333333333
"B1.F510",1,2,3,2,0.625
"B1.F111",1,3,3,1,0.75
"B1.F211",1,3,2,0,0.833333333333333
"B1.F311",3,0,0,3,0
"B1.F411",2,2,1,1,0.5
"B1.F511",1,3,2,0,0.833333333333333
"B1.F112",2,1,2,2,0.428571428571429
"B1.F212",2,1,1,2,0.333333333333333
"B1.F312",1,2,2,1,0.666666666666667
"B1.F412",1,1,2,2,0.5
"B1.F512",0,1,3,3,0.571428571428571
"B1.F113",1,1,2,2,0.5
"B1.F213",2,2,2,1,0.571428571428571
"B1.F313",3,2,0,1,0.333333333333333
"B1.F413",1,2,2,1,0.666666666666667
"B1.F513",0,2,3,2,0.714285714285714
"B1.F114",1,1,2,2,0.5
"B1.F214",0,3,3,0,1
"B1.F314",1,0,3,4,0.375
"B1.F414",1,2,2,1,0.666666666666667
"B1.F514",1,1,2,2,0.5
"B1.F115",1,3,2,0,0.833333333333333
"B1.F215",2,0,1,3,0.166666666666667
"B1.F315",2,1,1,2,0.333333333333333
"B1.F415",2,2,2,2,0.5
"B1.F515",1,0,2,3,0.333333333333333
"B1.F116",1,0,2,4,0.285714285714286
"B1.F216",2,1,1,2,0.333333333333333
"B1.F316",3,1,0,2,0.166666666666667
"B1.F416",2,0,1,3,0.166666666666667
"B1.F516",3,2,1,1,0.428571428571429
"B1.F117",1,0,2,3,0.333333333333333
"B1.F217",0,0,3,4,0.428571428571429
"B1.F317",1,0,3,3,0.428571428571429
"B1.F417",2,2,1,1,0.5
"B1.F517",1,1,2,2,0.5
"B1.F118",2,2,2,1,0.571428571428571
"B1.F218",0,3,3,0,1
"B1.F318",2,2,1,1,0.5
"B1.F418",0,3,3,1,0.857142857142857
"B1.F518",1,1,2,2,0.5
"B1.F119",3,3,1,0,0.571428571428571
"B1.F219",1,2,2,1,0.666666666666667
"B1.F319",0,1,3,2,0.666666666666667
"B1.F419",1,2,2,2,0.571428571428571
"B1.F519",3,1,0,2,0.166666666666667
